House_Type,Year_from,Year_to,Roof_1_A,Roof_2_A,Wall_1_A,Wall_2_A,Wall_3_A,Floor_1_A,Floor_2_A,Window_1_A,Window_2_A,Door_1_A,Roof_1_UW,Roof_2_UW,Wall_1_UW,Wall_2_UW,Wall_3_UW,Floor_1_UW,Floor_2_UW,Window_1_UW,Window_2_UW,Door_1_UW
EFH_A,0,1859,134.19,0,169.78,0,0,0,85.46,28.78,0,2,2.6,1,2,2,2,2.9,2.9,2.8,5,3
EFH_B,1860,1918,83.12,0,194.04,0,0,45.6,32.7,22.3,0,2,1.3,1,1.7,1.7,1.7,1.2,1.2,2.8,2.8,3
EFH_C,1919,1948,213.99,0,235.3,0,0,144.9,0,52.35,0,2,1.4,0.8,1.7,1.7,1.7,1,1,2.8,2.8,3
EFH_D,1949,1957,125.4,0,117.8,0,0,62,17.9,18.4,0,2,1.4,0.8,1.4,1.4,1.4,1.01,1.01,2.8,2.8,3
EFH_E,1958,1968,168.9,0,141.2,8.7,0,115.8,0,27.1,0,2.1,0.8,0.6,1.2,0.8,1.2,1.6,1.6,2.8,2.8,3
EFH_F,1969,1978,183.13,0,177.55,0,0,78.32,74,34.21,0,2,0.5,0.6,1,1,1,1,1,2.8,2.8,3
EFH_G,1979,1983,100.8,0,159.4,0,0,83.4,0,27,0,2,0.5,0.5,0.8,0.8,0.8,0.8,0.8,4.3,4.3,3
EFH_H,1984,1994,123.2,0,211.3,0,0,75.33,0,29.67,0,2,0.4,0.4,0.5,0.5,0.5,0.6,0.6,3.2,3.2,3
EFH_I,1995,2001,115.5,0,126.6,0,0,84.3076,0,32.46,0,2,0.35,0.3,0.3,0.3,0.3,0.45,0.45,1.9,1.9,2
EFH_J,2002,2009,85.91,0,188.86,0,0,79.82,0,28.3,0,2,0.25,0.24,0.3,0.3,0.3,0.3,0.3,1.4,1.4,2
RH_B,1860,1918,0,60,74.47,0,0,60,0,18.091,0,2,1.3,1,1.7,1.7,1.7,1.2,1.2,2.7,2.7,3
RH_C,1919,1948,0,50.35,64.14,0,0,50.35,0,21.48,0,2,1.4,0.8,1.7,1.7,1.7,1,1,2.8,2.8,3
RH_D,1949,1957,0,81.2,134.66,0,0,81.2,0,46.67,0,2,1.4,0.8,1.2,1.2,1.2,2.1,2.1,2.8,2.8,3
RH_E,1958,1968,0,46.2,40.42,0,0,46.2,0,13.52,0,2,0.6,0.6,1.2,1.2,1.2,1.6,1.6,2.8,2.8,3
RH_F,1969,1978,0,60.85,53.72,0,0,60.85,0,23.36,0,2,0.5,0.6,1,1,1,1,1,2.8,2.8,3
RH_G,1979,1983,97.63,0,54.1,0,0,73,0,20.25,0,2,0.5,0.5,0.8,0.8,0.8,0.8,0.8,2.8,2.8,3
RH_H,1984,1994,64.87,0,50.9,0,0,56.08,0,18.75,0,2,0.4,0.4,0.6,0.6,0.6,0.6,0.6,2.8,2.8,3
RH_I,1995,2001,77.4,0,45.2,13.9,0,0,51.9,22.4,0,2.5,0.35,0.27,0.6,0.6,0.6,0.45,0.45,1.6,1.6,2
RH_J,2002,2009,91.3,0,140.7,0,0,70.7,0,36.3,0,2,0.2,0.24,0.3,0.3,0.3,0.3,0.3,1.3,1.3,2
MFH_A,0,1859,284.1,0,749.31,0,0,124.76,48.97,106.97,0,2,2.6,1,2,2,2,1.2,1.2,2.8,2.8,3
MFH_B,1860,1918,102.8,0,146,0,0,102.8,0,54.08,0,2,1.3,1,2.2,2.2,2.2,1.2,1.2,2.7,2.7,3
MFH_C,1919,1948,158.5,31.1,323.54,0,0,127.4,31.1,71.16,0,2,1.4,0.8,1.7,1.7,1.7,1,1,3,3,3
MFH_D,1949,1957,0,355,462,0,0,355,0,98.72,0,2,1.4,1.6,1.2,1.2,1.2,2.2,2.2,3,3,3
MFH_E,1958,1968,0,971.11,2039,0,0,971.11,0,507.48,0,2,0.8,0.6,1.2,1.2,1.2,1.6,1.6,3,3,3
MFH_F,1969,1978,0,216.7,336,0,0,216.7,0,81.3,0,2,0.5,0.6,1,1,1,1,1,3,3,4
MFH_G,1979,1983,0,248.25,447.13,0,0,248.25,0,99.37,0,2,0.5,0.5,0.8,0.8,0.8,0.8,0.8,3,3,4
MFH_H,1984,1994,0,249.4,774.8,0,0,249.4,0,161,0,2,0.4,0.4,0.6,0.6,0.6,0.6,0.6,3,3,4
MFH_I,1995,2001,0,283.7,695.8,0,0,283.7,0,162.8,0,2,0.35,0.35,0.4,0.4,0.4,0.45,0.45,1.9,1.9,2
MFH_J,2002,2009,580,0,1698,0,0,619.5,0,308.7,0,2,0.2,0.24,0.25,0.25,0.25,0.35,0.35,1.4,1.4,3
GMH_B,1860,1918,231.8,0,305.4,0,0,163.7,0,136.2,0,2,1.3,1,1.7,1.7,1.7,1.2,1.2,2.8,2.8,3
GMH_C,1919,1948,0,384.2,1244,0,0,395.6,0,278.52,0,2,1.4,0.8,1.4,1.4,1.4,1,1,3,3,3
GMH_D,1949,1957,0,353.5,1376,0,0,353.5,0,294.9,0,2,0.6,1.6,1.2,1.2,1.2,2.1,2.1,3,3,3
GMH_E,1958,1968,0,479.58,3247.79,0,0,459.24,0,687.03,0,2,0.8,0.6,1.2,1.2,1.2,1.6,1.6,3,3,3
GMH_F,1969,1978,0,540,2130,0,0,540,0,545,0,2,0.5,0.6,1.1,1.1,1.1,1,1,3,3,4
HH_E,1958,1968,0,501.19,6949.14,0,0,485.36,269.52,1947.19,0,2,0.6,0.6,1.2,1.2,1.2,1.6,1.6,3,3,3
HH_F,1969,1978,0,1468.97,14623.4,0,0,1468.97,0,2580.52,0,2,0.5,0.6,1.1,1.1,1.1,1,1,3,3,4
EFH_F/F,1969,1978,138,0,117,0,0,106,0,32,0,2.2,0.5,0.5,0.6,0.6,0.6,1,1,2.8,2.8,3
NBL_MFH_D,1949,1957,0,558.714,1158.16,0,0,558.714,0,319.9,0,2,1.4,1.6,1.2,1.2,1.2,2.2,2.2,3,3,3
