House_Type,Year_from,Year_to,number_floors,Energy_equivalent_Area,No_of_residential_building,Volume,Roof_1_A2,Roof_2_A,Wall_1_A,Wall_2_A,Wall_3_A,Floor_1_A,Floor_2_A,Window_1_A,Window_2_A,Door_1_A,Roof_1_UW,Roof_2_UW,Wall_1_UW,Wall_2_UW,Wall_3_UW,Floor_1_UW,Floor_2_UW,Window_1_UW,Window_2_UW,Door_1_UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_A,0,1859,2,199,1,767.5759875,134.19,0,169.78,0,0,0,85.46,28.78,0,2,2.6,1,2,2,2,2.9,2.9,2.8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_B,1860,1918,2,128.9,1,595,83.12,0,194.04,0,0,45.6,32.7,22.3,0,2,1.3,1,1.7,1.7,1.7,1.2,1.2,2.8,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_C,1919,1948,2,275,2,1052.5,213.99,0,235.3,0,0,144.9,0,52.35,0,2,1.4,0.8,1.7,1.7,1.7,1,1,2.8,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_D,1949,1957,1,101,1,380,125.4,0,117.8,0,0,62,17.9,18.4,0,2,1.4,0.8,1.4,1.4,1.4,1.01,1.01,2.8,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_E,1958,1968,1,110.2,1,502.9,168.9,0,141.2,8.7,0,115.8,0,27.1,0,2.1,0.8,0.6,1.2,0.8,1.2,1.6,1.6,2.8,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_F,1969,1978,1,157.5,1,606,183.13,0,177.55,0,0,78.32,74,34.21,0,2,0.5,0.6,1,1,1,1,1,2.8,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_G,1979,1983,2,196,1,647,100.8,0,159.4,0,0,83.4,0,27,0,2,0.5,0.5,0.8,0.8,0.8,0.8,0.8,4.3,4.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_H,1984,1994,1,136.55,1,514,123.2,0,211.3,0,0,75.33,0,29.67,0,2,0.4,0.4,0.5,0.5,0.5,0.6,0.6,3.2,3.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_I,1995,2001,1,110.8,1,427.3,115.5,0,126.6,0,0,84.3076,0,32.46,0,2,0.35,0.3,0.3,0.3,0.3,0.45,0.45,1.9,1.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFH_J,2002,2009,2,133.2,1,478.9206,85.91,0,188.86,0,0,79.82,0,28.3,0,2,0.25,0.24,0.3,0.3,0.3,0.3,0.3,1.4,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
